               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.052238,            0.018032,            0.012792,             0.90418,               0.375,              0.6715,             0.29858,            0.014875,           0.0070921,           0.0058687,             0.00307,             0.00307,             0.00307
                  37,            0.029696,            0.015969,            0.013094,             0.98271,                 0.5,             0.72125,             0.32627,            0.013009,           0.0070897,           0.0057889,            0.002872,            0.002872,            0.002872
                  38,            0.044531,             0.01404,             0.01259,             0.96809,                 0.5,             0.72125,             0.30771,            0.014386,           0.0070415,           0.0055764,            0.002674,            0.002674,            0.002674
                  39,            0.033884,            0.019021,            0.016869,             0.98902,                 0.5,             0.82917,             0.37431,            0.012975,           0.0069995,           0.0056417,            0.002476,            0.002476,            0.002476
                  40,             0.05311,            0.019556,            0.021107,             0.98902,                 0.5,             0.82917,             0.37431,            0.012975,           0.0069995,           0.0056417,            0.002278,            0.002278,            0.002278
                  41,            0.034606,            0.015903,            0.018549,             0.52039,                   1,             0.91167,             0.35037,            0.013974,            0.006882,           0.0056741,             0.00208,             0.00208,             0.00208
                  42,            0.034405,            0.017405,            0.013081,             0.51462,                   1,               0.995,             0.39093,            0.012884,           0.0068437,           0.0056129,            0.001882,            0.001882,            0.001882
                  43,            0.043373,            0.018459,            0.017937,             0.52274,                   1,               0.995,             0.44885,            0.012139,           0.0064819,           0.0051166,            0.001684,            0.001684,            0.001684
                  44,            0.034239,            0.016273,            0.014227,             0.52274,                   1,               0.995,             0.44885,            0.012139,           0.0064819,           0.0051166,            0.001486,            0.001486,            0.001486
                  45,            0.028624,            0.018554,            0.010976,             0.58391,                   1,               0.995,             0.54041,            0.012236,           0.0063863,           0.0050511,            0.001288,            0.001288,            0.001288
                  46,            0.030135,            0.017484,           0.0080858,              0.6329,                   1,               0.995,             0.44599,             0.01229,           0.0062051,           0.0050697,             0.00109,             0.00109,             0.00109
                  47,            0.024941,            0.015888,            0.012178,             0.65285,                   1,               0.995,             0.50348,            0.012232,           0.0061926,           0.0050257,            0.000892,            0.000892,            0.000892
                  48,            0.027694,            0.018521,            0.011554,             0.65285,                   1,               0.995,             0.50348,            0.012232,           0.0061926,           0.0050257,            0.000694,            0.000694,            0.000694
                  49,            0.050011,            0.016219,            0.011698,             0.63876,                   1,               0.995,             0.50882,            0.012142,           0.0061575,           0.0050813,            0.000496,            0.000496,            0.000496
